STORE NO,LOCATION,ADDRESS,CITY,STATE,ZIP
0099,DIST CENTER (NORTH),4216 DEWITT,MATTOON,IL,61938
0098,DIST CENTER (SOUTH),2800 N  ST  JOSEPH  ST,W  EVANSVILLE,IN,47720
0001,MATTOON IL,4216 DEWITT,MATTOON,IL,61938
0002,PARIS IL,1103 N MAIN,PARIS,IL,61944
0003,VANDALIA IL,1616 VETERANS AVE,VANDALIA,IL,62471
0004,LITCHFIELD IL,1324 HUDSON,LITCHFIELD,IL,62056
0005,TERRE HAUTE IN,3235 WABASH AVE,TERRE HAUTE,IN,47803
0006,EFFINGHAM IL,201 WALK AVENUE,EFFINGHAM,IL,62401
0007,WATERLOO IL,740 NORTH MARKET,WATERLOO,IL,62298
0008,HENDERSON KY,1700 GREEN STREET,HENDERSON,KY,42420
0009,PRINCETON IN,2007 WEST BROADWAY,PRINCETON,IN,47670
0010,JASPER IN,1920 LUBE WAY,JASPER,IN,47546
0011,CHARLESTON IL,1475 18TH STREET,CHARLESTON,IL,61920
0012,OWENSBORO KY,601 COMMERCE DR,OWENSBORO,KY,42303
0014,EVANSVILLE IN,2300 E MORGAN,EVANSVILLE,IN,47711
0015,MCKENZIE TN,14800 HIGHLAND,MCKENZIE,TN,38201
0016,MARION IL,1301 ENTERPRISE WAY,MARION,IL,62959
0017,CARBONDALE IL,1702 W MAIN ST,CARBONDALE,IL,62902
0018,RANTOUL IL,1700 E GROVE,RANTOUL,IL,61866
0019,MARTIN TN,850 UNIVERSITY STREET,MARTIN,TN,38237
0020,MUHLENBERG KY,145 COPPER CREEK DR,POWDERLY,KY,42367
0021,VINCENNES IN,2655 N 6TH STREET,VINCENNES,IN,47591
0022,CLARKSVILLE TN,1141 Ft CAMPBELL BLVD,CLARKSVILLE,TN,37042
0023,LAFAYETTE IN,2500 TEAL ROAD,LAFAYETTE,IN,47905
0024,KOKOMO IN,2947 S WASHINGTON,KOKOMO,IN,46902
0025,MUNCIE IN,4000 BETHEL,MUNCIE,IN,47304
0026,LOGANSPORT IN,3300 E  MARKET STREET,LOGANSPORT,IN,46947
0027,MONTICELLO IN,1004 N  MAIN STREET,MONTICELLO,IN,47960
0028,ANGOLA IN,1501 N  WAYNE ST,ANGOLA,IN,46703
0029,NEW CASTLE IN,127 S  MEMORIAL DR,NEW CASTLE,IN,47362
0030,WOOSTER OH,3541 LINCOLN WAY,EAST  WOOSTER,OH,44691
0031,MARTINSVILLE IN,1800 S  OHIO STREET,MARTINSVILLE,IN,46151
0032,COLUMBUS IN,2985 N  NATIONAL ROAD,COLUMBUS,IN,47201
0033,KENDALLVILLE  IN,510 FAIRVIEW BLVD,KENDALLVILLE,IN,46755
0034,W  EVANSVILLE IN,2800 N  ST  JOSEPH,W  EVANSVILLE,IN,47720
0035,NILES MI,2707 S 11TH,NILES,MI,49120
0036,MADISONVILLE KY,1650 S  MAIN STREET,MADISONVILLE,KY,42431
0037,MACON COUNTY IL,1920 S  MOUNT ZION RD,DECATUR,IL,62521
0038,DECATUR IN,629 N 13TH STREET,DECATUR,IN,46733
0039,VAN WERT OH,811 FOX ROAD,VAN WERT,OH,45891
0040,BENTON IL,62 REND LAKE PLAZA,BENTON,IL,62812
